ACC,EM_prop,Uncertainty
0.5625,0.5,High
0.6875,0.5,High
0.5625,0.583333333,High
0.5625,0.75,High
0.625,0.5,High
0.625,0.583333333,High
0.75,0.5,High
0.6875,0.916666667,High
0.75,0.75,High
0.625,0.916666667,High
0.3125,0.416666667,High
0.3125,0.666666667,High
0.625,0.166666667,High
0.625,0.666666667,High
0.6875,0.5,High
0.75,0.666666667,High
0.625,0.666666667,High
0.625,0.5,High
0.625,0.833333333,High
0.625,0.333333333,High
0.625,0.25,High
0.5,0.583333333,High
0.5,0.333333333,High
0.5,0.333333333,High
0.6875,0.916666667,High
0.8125,0.583333333,High
0.75,0.666666667,High
0.8125,0.583333333,High
0.625,0.416666667,High
0.75,0.416666667,High
0.625,0.75,High
0.75,0.666666667,High
0.5625,0.666666667,High
0.5625,0.5,High
0.6875,0.333333333,High
0.875,0.666666667,High
0.625,0.166666667,High
0.625,0.25,High
0.5,0.166666667,High
0.3125,0.5,High
0.4375,0.5,High
0.625,0.666666667,High
0.5625,0.333333333,High
0.1875,0.333333333,High
0.625,0.666666667,High
0.6875,0.5,High
0.625,0.416666667,High
0.5625,0.666666667,High
0.4375,0.5,High
0.6875,0.25,High
0.75,0.666666667,High
0.625,0.166666667,High
0.6875,0.916666667,High
0.75,0.833333333,High
0.6875,0.083333333,High
0.6875,0.833333333,High
0.75,0.166666667,High
0.4375,0.583333333,High
0.8125,0.416666667,High
0.875,0.666666667,High
0.6875,0.583333333,High
0.625,0.5,High
0.25,0.333333333,High
0.5,0.666666667,High
0.6875,0.916666667,High
0.8125,0.5,High
0.625,0.75,High
0.875,0.583333333,High
0.6875,0.5,High
0.75,0.5,High
0.5,0.416666667,High
0.375,0.416666667,High
0.5625,0.333333333,High
0.625,0.5,High
0.625,0.5,High
0.8125,0.75,High
0.6875,0.416666667,High
0.625,0.583333333,High
0.6875,0.416666667,High
0.625,0.666666667,High
0.6875,0.583333333,High
0.6875,0.75,High
0.5625,0.833333333,High
0.625,0.416666667,High
0.5,0.666666667,High
0.625,0.916666667,High
0.6875,0.416666667,High
0.5625,0.333333333,High
0.6875,0.333333333,High
0.75,0.5,High
0.6875,0.916666667,High
0.6875,0.666666667,High
0.75,0.666666667,High
0.75,0.25,High
0.4375,0.333333333,High
0.8125,0.75,High
0.5,0.5,High
0.6875,0.416666667,High
0.75,0.666666667,High
0.6875,0.583333333,High
0.25,0.5,High
0.5,0.583333333,High
0.75,0.666666667,High
0.5625,0.583333333,High
0.75,0.5,High
0.625,0.5,High
0.625,0.416666667,High
0.8125,0.5,High
0.5625,0.416666667,High
0.625,0.166666667,High
0.625,0.583333333,High
0.625,0.416666667,High
0.625,0.75,High
0.8125,0.75,High
0.75,0.666666667,High
0.5,0.583333333,High
0.6875,0.583333333,High
0.5625,0.416666667,High
0.6875,0.583333333,High
0.625,0.416666667,High
0.8125,0.75,High
0.6875,0.583333333,High
0.6875,0.583333333,High
0.5625,0.333333333,High
0.875,0.666666667,High
0.8125,0.75,High
0.4375,0.5,High
0.75,0.5,High
0.75,0.833333333,High
0.625,0.5,High
0.75,0.833333333,High
0.5625,0.583333333,High
0.625,0.666666667,High
0.5,0.583333333,High
0.5625,0.833333333,High
0.75,0.666666667,High
0.75,0.333333333,High
0.625,0.583333333,High
0.25,0.5,High
0.75,0.833333333,High
0.625,0.583333333,High
0.375,0.666666667,High
0.75,0.75,High
0.6875,0.833333333,High
0.375,0.583333333,High
0.4375,0.25,High
0.8125,0.583333333,High
0.5625,0.166666667,High
0.8125,0.583333333,High
0.6875,0.583333333,High
0.5,0.416666667,High
0.6875,0.833333333,High
0.5,0.5,High
0.6875,0.833333333,High
0.75,0.5,High
0.875,0.666666667,High
0.875,0.583333333,High
0.6875,0.75,High
0.3125,0.75,High
0.6875,0.416666667,High
0.75,0.5,High
0.1875,0.25,High
0.75,0.833333333,High
0.5,0.166666667,High
0.375,0.5,High
0.625,0.25,High
0.75,0.5,High
0.5625,0.333333333,High
0.75,0.666666667,High
0.75,0.833333333,High
0.5,0.75,High
0.4375,0.416666667,High
0.5625,0.25,High
0.625,0.666666667,High
0.625,0.333333333,High
0.5625,0.416666667,High
0.6875,0.5,High
0.6875,0.583333333,High
0.625,0.75,High
0.6875,0.416666667,High
0.5,0.583333333,High
0.5,0.166666667,High
0.5625,0.75,High
0.3125,0.166666667,High
0.4375,0.416666667,High
0.5625,0.25,High
0.625,0.416666667,High
0.6875,0.666666667,High
0.5,0.583333333,High
0.6875,0.75,High
0.6875,0.25,High
0.75,0.583333333,High
0.625,0.5,High
0.625,0.666666667,High
0.625,0.916666667,High
0.75,0.666666667,High
0.5625,0.583333333,High
0.8125,0.666666667,High
0.75,0.333333333,High
0.6875,0.833333333,High
0.75,0.833333333,High
0.25,0.416666667,High
0.5,0.5,High
0.6875,0.75,High
0.375,0.666666667,High
0.5625,0.5,High
0.75,0.583333333,High
0.8125,0.583333333,High
0.8125,0.416666667,High
0.625,0.166666667,High
0.75,0.75,High
0.8125,0.583333333,High
0.5625,0.583333333,High
0.625,0.833333333,High
0.5625,0.833333333,High
0.5,0.083333333,High
0.75,0.666666667,High
0.625,0.583333333,High
0.6875,0.75,High
0.75,0.5,High
0.875,0.5,High
0.5625,0.333333333,High
0.5625,0.666666667,High
0.5625,0.666666667,High
0.5,0.5,High
0.75,0.5,High
0.75,0.75,High
0.6875,0.333333333,High
0.4375,0.5,High
0.6875,0.833333333,High
0.75,0.666666667,High
0.5,0.583333333,High
0.6875,0.666666667,High
0.6875,0.5,High
0.4375,0.416666667,High
0.6875,0.5,High
0.6875,0.75,High
0.625,0.583333333,High
0.875,0.333333333,High
0.625,0.75,High
0.6875,0.5,High
0.8125,0.416666667,High
0.6875,0.833333333,High
0.625,0.583333333,High
0.625,0.75,High
0.5,0.416666667,High
0.5,0.083333333,High
0.5625,0.833333333,High
0.375,0.333333333,High
0.8125,0.416666667,High
0.6875,0.666666667,High
0.6875,0.75,High
0.75,0.583333333,High
0.625,0.333333333,High
0.625,0.583333333,High
0.5625,0.583333333,High
0.4375,0.5,High
0.6875,0.916666667,High
0.75,0.666666667,High
0.5,0.333333333,High
0.6875,0.666666667,High
0.625,0.916666667,High
0.8125,0.416666667,High
0.625,0.833333333,High
0.5,0.416666667,High
0.75,0.5,High
0.5625,0.583333333,High
0.375,0.333333333,High
0.4375,0.583333333,High
0.625,0.916666667,High
0.6875,0.416666667,High
0.75,0.583333333,High
0.75,0.5,High
0.75,0.416666667,High
0.4375,0.666666667,High
0.75,0.5,High
0.625,0.5,High
0.5625,0.333333333,High
0.75,0.5,High
0.5,0.416666667,High
0.75,0.5,High
0.6875,0.75,High
0.875,0.666666667,High
0.5,0.666666667,High
0.5,0.583333333,High
0.75,0.666666667,High
0.5625,0.833333333,High
0.6875,0.25,High
0.75,0.75,High
0.625,0.75,High
0.6875,0.416666667,High
0.5,0.416666667,High
0.4375,0.5,High
0.625,0.583333333,High
0.375,0.416666667,High
0.5,0.416666667,High
0.5,0.333333333,High
0.6875,0.25,High
0.6875,0.583333333,High
0.3125,0.583333333,High
0.5625,0.5,High
0.75,0.666666667,High
0.8125,0.75,High
0.6875,0.583333333,High
0.5,0.583333333,High
0.6875,0.666666667,High
0.5625,0.666666667,High
0.75,0.333333333,High
0.5,0.75,High
0.75,0.583333333,High
0.75,0.666666667,High
0.75,0.666666667,High
0.4375,0.416666667,High
0.6875,0.583333333,High
0.5625,0.416666667,High
0.3125,0.583333333,High
0.6875,0.75,High
0.75,0.5,High
0.6875,0.25,High
0.6875,0.75,High
0.5,0.583333333,High
0.5,0.166666667,High
0.5,0.583333333,High
0.6875,0.916666667,High
0.75,0.666666667,High
0.5,0.666666667,High
0.8125,0.583333333,High
0.5,0.833333333,High
0.625,0.583333333,High
0.5625,0.75,High
0.875,0.333333333,High
0.5625,0.583333333,High
0.625,0.333333333,High
