runNb,runID,trialNb,trType,goalToken,uncertainty,unavAct,corrAct,bestAct,vertOrd,horizOrd,isBreak,tokenIfLeft,tokenIfMid,tokenIfRight
7,2,7,2,2,2,2,1,2,2,1,0,1,NaN,3
7,2,8,1,2,2,1,2,2,2,1,0,NaN,NaN,NaN
7,2,9,1,3,2,1,3,3,2,1,0,NaN,NaN,NaN
7,2,10,2,3,2,3,2,3,2,1,0,1,1,NaN
7,2,11,1,3,2,2,3,3,2,1,0,NaN,NaN,NaN
7,2,12,2,3,2,1,3,3,2,1,1,NaN,3,1
8,3,1,1,1,1,1,3,3,1,2,0,NaN,NaN,NaN
8,3,2,1,1,1,2,3,3,1,2,0,NaN,NaN,NaN
8,3,3,2,1,1,2,3,3,1,2,0,3,NaN,1
8,3,4,1,3,1,3,2,2,1,2,0,NaN,NaN,NaN
8,3,5,2,3,1,1,2,2,1,2,0,NaN,1,1
8,3,6,1,3,1,1,2,2,1,2,0,NaN,NaN,NaN
8,3,7,1,3,1,2,1,2,1,2,0,NaN,NaN,NaN
8,3,8,1,1,1,2,3,3,1,2,0,NaN,NaN,NaN
8,3,9,2,1,1,3,2,3,1,2,0,2,3,NaN
8,3,10,1,1,1,2,3,3,1,2,0,NaN,NaN,NaN
8,3,11,1,2,1,2,1,1,1,2,0,NaN,NaN,NaN
8,3,12,2,2,1,1,3,1,1,2,0,NaN,3,1
